Review_ID,Review_Text,Rating,Sentiment_Label,Sentiment_Score,Category,Platform,Review_Date,Month,Helpful_Votes,Verified_Purchase
REV00040,Wonderful purchase. incredible quality and prompt delivery.,5,Positive,0.905,Sports,Flipkart,2023-09-12,2023-09,27,No
REV00041,Product is as described. No complaints but nothing great.,3,Neutral,-0.006,Grocery,Myntra,2023-07-24,2023-07,78,Yes
REV00042,Brilliant product. superb packaging and arrived on time.,5,Positive,0.905,Toys,Nykaa,2023-10-13,2023-10,102,Yes
REV00043,Average quality. Delivery was on time. Acceptable for the price.,3,Neutral,0.075,Home & Kitchen,Nykaa,2023-09-25,2023-09,67,Yes
REV00044,Amazing product! incredible build quality. Five stars!,5,Positive,0.605,Fashion,Meesho,2024-06-07,2024-06,147,Yes
REV00045,Loved it! Product quality is top-notch. Would recommend to friends.,5,Positive,0.865,Books,Myntra,2024-12-04,2024-12,110,Yes
REV00046,Alright product. Would consider other options next time.,3,Neutral,-0.034,Fashion,Myntra,2023-11-18,2023-11,129,Yes
REV00047,Do not buy! Product quality is appalling. Waste of money.,2,Negative,-0.501,Beauty,Meesho,2023-07-16,2023-07,44,Yes
REV00048,Fantastic! The item is excellent and exactly what I needed.,4,Positive,0.601,Health,Myntra,2024-08-16,2024-08,119,No
REV00049,Highly recommend! Product is exactly as described. remarkable experience.,4,Positive,0.359,Health,Myntra,2024-06-11,2024-06,23,Yes
REV00050,Worst purchase ever. Product is dreadful and not as described.,1,Negative,-0.958,Health,Amazon,2024-05-01,2024-05,116,No
REV00051,It works but I expected more features for this price.,3,Neutral,-0.061,Beauty,Meesho,2024-12-14,2024-12,102,Yes
REV00052,Loved it! Product quality is excellent. Would recommend to friends.,5,Positive,0.453,Automotive,Meesho,2024-12-13,2024-12,12,Yes
REV00053,Average quality. Delivery was on time. Acceptable for the price.,3,Neutral,-0.009,Automotive,Nykaa,2024-04-20,2024-04,81,No
REV00054,Really bad quality. Product is appalling and not worth it.,2,Negative,-0.507,Grocery,Meesho,2023-06-12,2023-06,66,Yes
REV00055,Okay purchase. Packaging could be better. Works as expected.,3,Neutral,0.053,Grocery,Flipkart,2024-06-17,2024-06,70,No
REV00056,Superb quality! Will definitely buy again. superb service overall.,5,Positive,0.925,Home & Kitchen,Flipkart,2023-03-24,2023-03,59,No
REV00057,Really bad quality. Product is dreadful and not worth it.,1,Negative,-0.633,Grocery,Meesho,2024-07-09,2024-07,15,Yes
REV00058,Neither impressed nor disappointed. Product is just okay.,3,Neutral,0.081,Electronics,Nykaa,2024-08-21,2024-08,97,No
REV00059,Fast shipping and the product is fantastic. Very happy with purchase.,5,Positive,0.967,Automotive,Nykaa,2024-03-05,2024-03,56,No
REV00060,Amazing product! remarkable build quality. Five stars!,5,Positive,0.768,Home & Kitchen,Meesho,2024-02-19,2024-02,32,Yes
REV00061,It works but I expected more features for this price.,3,Neutral,0.013,Fashion,Meesho,2023-01-28,2023-01,34,No
REV00062,Superb quality! Will definitely buy again. top-notch service overall.,4,Positive,0.529,Sports,Meesho,2024-01-24,2024-01,64,Yes
REV00063,Really bad quality. Product is terrible and not worth it.,2,Negative,-0.685,Fashion,Amazon,2024-10-27,2024-10,7,Yes
REV00064,Absolutely love this product! outstanding quality and flawlessly delivery.,4,Positive,0.769,Books,Meesho,2024-07-31,2024-07,65,Yes
REV00065,Very satisfied. The product is premium and works as expected.,5,Positive,0.376,Sports,Nykaa,2023-01-27,2023-01,96,No
REV00066,Decent product. Not the best but not the worst either.,3,Neutral,-0.085,Books,Amazon,2024-12-08,2024-12,77,Yes
REV00067,Frustrated with this purchase. Item is terrible and overpriced.,1,Negative,-0.614,Fashion,Nykaa,2024-01-15,2024-01,87,Yes
REV00068,Product is as described. No complaints but nothing great.,3,Neutral,-0.002,Toys,Meesho,2024-03-19,2024-03,39,No
REV00069,Best purchase I've made. fantastic quality at a great price.,5,Positive,0.677,Grocery,Meesho,2024-05-10,2024-05,68,Yes
REV00070,Product is as described. No complaints but nothing great.,3,Neutral,0.087,Grocery,Flipkart,2023-10-13,2023-10,118,No
REV00071,"Excellent! Delivery was quick, product works flawlessly.",5,Positive,0.548,Toys,Myntra,2023-09-22,2023-09,70,Yes
REV00072,Worst purchase ever. Product is awful and not as described.,1,Negative,-0.634,Books,Meesho,2024-07-22,2024-07,125,No
REV00073,Terrible experience. Delivery was delayed and product is horrible.,1,Negative,-0.377,Health,Myntra,2023-11-10,2023-11,121,Yes
REV00074,Loved it! Product quality is incredible. Would recommend to friends.,5,Positive,0.49,Books,Amazon,2023-09-15,2023-09,49,Yes
REV00075,Best purchase I've made. outstanding quality at a great price.,4,Positive,0.639,Automotive,Nykaa,2024-08-26,2024-08,72,Yes
REV00076,Okay purchase. Packaging could be better. Works as expected.,3,Neutral,-0.055,Sports,Amazon,2023-07-03,2023-07,136,Yes
REV00077,Absolutely love this product! fantastic quality and brilliantly delivery.,5,Positive,0.747,Fashion,Amazon,2024-05-17,2024-05,146,Yes
REV00078,Very bad experience. Product is substandard and stopped working soon.,1,Negative,-0.954,Fashion,Amazon,2024-05-04,2024-05,102,No
REV00079,Brilliant product. excellent packaging and arrived on time.,4,Positive,0.694,Fashion,Flipkart,2023-11-08,2023-11,30,No
REV00080,Not satisfied at all. dreadful product. Expected much better.,2,Negative,-0.658,Sports,Nykaa,2024-03-29,2024-03,109,Yes
REV00081,Very disappointed. Product quality is awful. Not worth the price.,2,Negative,-0.813,Sports,Amazon,2023-08-05,2023-08,40,Yes
REV00082,Exceeded my expectations. outstanding packaging and amazing customer support.,5,Positive,0.783,Sports,Amazon,2024-04-26,2024-04,59,Yes
REV00083,Really bad quality. Product is mediocre and not worth it.,1,Negative,-0.79,Health,Flipkart,2023-09-28,2023-09,108,Yes
REV00084,Horrible experience. pathetic service and delivery took forever.,2,Negative,-0.256,Electronics,Flipkart,2023-03-15,2023-03,78,Yes
REV00085,"Excellent! Delivery was quick, product works brilliantly.",5,Positive,0.491,Grocery,Meesho,2024-07-06,2024-07,20,Yes
REV00086,Okay packaging. Product condition was acceptable.,3,Neutral,-0.036,Electronics,Amazon,2023-09-14,2023-09,58,Yes
REV00087,Standard product. Nothing to rave or complain about.,3,Neutral,0.064,Electronics,Flipkart,2024-08-13,2024-08,120,No
REV00088,It's fine. Does what it says but nothing extraordinary.,3,Neutral,0.099,Grocery,Amazon,2024-03-22,2024-03,120,Yes
REV00089,Fast shipping and the product is premium. Very happy with purchase.,5,Positive,0.786,Beauty,Nykaa,2023-10-23,2023-10,9,No
REV00090,Superb quality! Will definitely buy again. incredible service overall.,5,Positive,0.583,Electronics,Nykaa,2024-06-10,2024-06,118,No
REV00091,Best purchase I've made. incredible quality at a great price.,5,Positive,0.738,Books,Myntra,2023-02-22,2023-02,140,Yes
REV00092,Satisfactory. Delivery took longer than expected but product works.,3,Neutral,0.076,Fashion,Amazon,2024-05-11,2024-05,61,Yes
REV00093,Absolutely love this product! top-notch quality and perfectly delivery.,4,Positive,0.889,Grocery,Amazon,2023-04-27,2023-04,39,No
REV00094,Okay purchase. Packaging could be better. Works as expected.,3,Neutral,0.002,Beauty,Meesho,2023-10-07,2023-10,120,Yes
REV00095,Poor quality. Item broke within a week. appalling customer support.,1,Negative,-0.461,Fashion,Myntra,2023-05-20,2023-05,106,Yes
REV00096,Moderate quality. Acceptable for casual use.,3,Neutral,-0.047,Sports,Myntra,2023-01-03,2023-01,150,No
REV00097,Satisfactory. Delivery took longer than expected but product works.,3,Neutral,0.008,Toys,Nykaa,2023-12-20,2023-12,139,No
REV00098,Do not buy! Product quality is dreadful. Waste of money.,2,Negative,-0.785,Books,Meesho,2024-01-28,2024-01,11,Yes
REV00099,Really bad quality. Product is appalling and not worth it.,1,Negative,-0.403,Home & Kitchen,Meesho,2024-10-29,2024-10,9,Yes
REV00100,Frustrated with this purchase. Item is substandard and overpriced.,2,Negative,-0.213,Fashion,Nykaa,2024-03-26,2024-03,116,Yes
REV00101,Awful! Product arrived damaged and support was pathetic.,1,Negative,-0.297,Toys,Nykaa,2023-09-29,2023-09,101,Yes
REV00102,Product is as described. No complaints but nothing great.,3,Neutral,0.035,Beauty,Myntra,2024-06-30,2024-06,124,Yes
REV00103,Worst purchase ever. Product is horrible and not as described.,2,Negative,-0.328,Fashion,Amazon,2024-03-20,2024-03,113,Yes
REV00104,Complete waste of money. Quality is terrible.,1,Negative,-0.283,Toys,Myntra,2023-10-28,2023-10,110,Yes
REV00105,Amazing product! outstanding build quality. Five stars!,4,Positive,0.727,Health,Flipkart,2024-01-27,2024-01,127,Yes
REV00106,Brilliant product. fantastic packaging and arrived on time.,4,Positive,0.307,Sports,Nykaa,2024-04-21,2024-04,40,Yes
REV00107,Fast shipping and the product is fantastic. Very happy with purchase.,5,Positive,0.783,Sports,Flipkart,2024-04-12,2024-04,98,No
REV00108,Amazing product! incredible build quality. Five stars!,4,Positive,0.789,Beauty,Myntra,2023-01-23,2023-01,2,Yes
REV00109,Okay packaging. Product condition was acceptable.,3,Neutral,-0.001,Books,Nykaa,2023-10-21,2023-10,90,Yes
REV00110,Frustrated with this purchase. Item is horrible and overpriced.,2,Negative,-0.351,Home & Kitchen,Amazon,2024-11-06,2024-11,10,Yes
REV00111,Very disappointed. Product quality is substandard. Not worth the price.,2,Negative,-0.919,Toys,Meesho,2023-10-30,2023-10,44,Yes
REV00112,Best purchase I've made. incredible quality at a great price.,5,Positive,0.491,Sports,Meesho,2023-06-18,2023-06,75,Yes
REV00113,Satisfactory. Delivery took longer than expected but product works.,3,Neutral,0.093,Books,Meesho,2023-05-25,2023-05,142,Yes
REV00114,Amazing product! excellent build quality. Five stars!,5,Positive,0.618,Sports,Nykaa,2024-11-19,2024-11,97,Yes
REV00115,Highly recommend! Product is exactly as described. remarkable experience.,5,Positive,0.96,Health,Flipkart,2023-12-02,2023-12,16,No
REV00116,Okay purchase. Packaging could be better. Works as expected.,3,Neutral,0.03,Home & Kitchen,Amazon,2023-04-30,2023-04,9,Yes
REV00117,Average quality. Delivery was on time. Acceptable for the price.,3,Neutral,-0.081,Home & Kitchen,Meesho,2024-07-04,2024-07,116,Yes
REV00118,Really bad quality. Product is appalling and not worth it.,1,Negative,-0.346,Fashion,Meesho,2024-02-29,2024-02,104,Yes
REV00119,Fast shipping and the product is superb. Very happy with purchase.,5,Positive,0.465,Fashion,Myntra,2024-01-07,2024-01,139,Yes
REV00120,Superb quality! Will definitely buy again. superb service overall.,5,Positive,0.877,Books,Nykaa,2023-04-04,2023-04,5,Yes
REV00121,Worst purchase ever. Product is pathetic and not as described.,2,Negative,-0.815,Books,Nykaa,2024-07-21,2024-07,55,Yes
REV00122,Great value for money. Very excellent and durable.,5,Positive,0.401,Automotive,Myntra,2023-05-14,2023-05,44,Yes
REV00123,Very disappointed. Product quality is pathetic. Not worth the price.,1,Negative,-0.289,Health,Myntra,2023-09-01,2023-09,4,Yes
REV00124,Great value for money. Very top-notch and durable.,4,Positive,0.344,Toys,Nykaa,2024-04-04,2024-04,27,No
REV00125,Frustrated with this purchase. Item is terrible and overpriced.,2,Negative,-0.182,Automotive,Myntra,2024-11-05,2024-11,117,Yes
REV00126,"Excellent! Delivery was quick, product works smoothly.",5,Positive,0.643,Fashion,Amazon,2024-03-30,2024-03,82,Yes
REV00127,Superb quality! Will definitely buy again. incredible service overall.,5,Positive,0.671,Automotive,Nykaa,2024-04-09,2024-04,110,Yes
REV00128,Terrible experience. Delivery was delayed and product is dreadful.,1,Negative,-0.201,Toys,Meesho,2024-02-28,2024-02,102,No
REV00129,Do not buy! Product quality is appalling. Waste of money.,1,Negative,-0.771,Grocery,Amazon,2023-06-06,2023-06,23,Yes
REV00130,Exceeded my expectations. incredible packaging and amazing customer support.,5,Positive,0.711,Automotive,Myntra,2024-07-29,2024-07,31,No
REV00131,Brilliant product. top-notch packaging and arrived on time.,4,Positive,0.501,Toys,Amazon,2023-11-16,2023-11,147,Yes
REV00132,"Excellent! Delivery was quick, product works perfectly.",5,Positive,0.689,Sports,Nykaa,2023-04-28,2023-04,57,No
REV00133,Medium quality. Okay for everyday use.,3,Neutral,0.064,Automotive,Amazon,2024-09-20,2024-09,68,Yes
REV00134,Loved it! Product quality is fantastic. Would recommend to friends.,5,Positive,0.427,Health,Meesho,2023-05-27,2023-05,17,Yes
REV00135,Very disappointed. Product quality is awful. Not worth the price.,2,Negative,-0.806,Grocery,Myntra,2024-03-05,2024-03,40,Yes
REV00136,Fast shipping and the product is premium. Very happy with purchase.,4,Positive,0.828,Fashion,Myntra,2023-02-20,2023-02,113,No
REV00137,Very bad experience. Product is appalling and stopped working soon.,1,Negative,-0.321,Toys,Meesho,2023-04-27,2023-04,28,Yes
REV00138,Frustrated with this purchase. Item is mediocre and overpriced.,1,Negative,-0.722,Beauty,Nykaa,2023-08-14,2023-08,14,Yes
REV00139,Highly recommend! Product is exactly as described. outstanding experience.,4,Positive,0.384,Beauty,Flipkart,2024-05-24,2024-05,33,No
REV00140,Worst purchase ever. Product is substandard and not as described.,1,Negative,-0.224,Beauty,Amazon,2023-02-13,2023-02,117,Yes
REV00141,It works but I expected more features for this price.,3,Neutral,-0.014,Beauty,Myntra,2024-02-19,2024-02,29,No
REV00142,Fast shipping and the product is outstanding. Very happy with purchase.,5,Positive,0.783,Fashion,Meesho,2024-01-06,2024-01,27,Yes
REV00143,Amazing product! premium build quality. Five stars!,5,Positive,0.822,Toys,Flipkart,2023-08-15,2023-08,19,Yes
REV00144,Worst purchase ever. Product is substandard and not as described.,1,Negative,-0.138,Home & Kitchen,Flipkart,2024-10-22,2024-10,26,Yes
REV00145,Great value for money. Very outstanding and durable.,4,Positive,0.966,Grocery,Meesho,2024-10-05,2024-10,144,No
REV00146,Complete waste of money. Quality is substandard.,2,Negative,-0.436,Grocery,Amazon,2023-06-04,2023-06,120,No
REV00147,Not satisfied at all. horrible product. Expected much better.,1,Negative,-0.683,Sports,Meesho,2023-03-17,2023-03,115,Yes
REV00148,Fantastic! The item is fantastic and exactly what I needed.,5,Positive,0.984,Health,Nykaa,2023-04-03,2023-04,129,No
REV00149,Terrible! terrible product quality. Will not buy again.,1,Negative,-0.271,Books,Myntra,2024-10-29,2024-10,121,Yes
REV00150,Satisfactory. Delivery took longer than expected but product works.,3,Neutral,-0.079,Fashion,Nykaa,2023-12-18,2023-12,44,Yes
REV00151,"Excellent! Delivery was quick, product works efficiently.",5,Positive,0.411,Sports,Meesho,2024-01-17,2024-01,104,Yes
REV00152,Very disappointed. Product quality is substandard. Not worth the price.,1,Negative,-0.915,Beauty,Myntra,2024-11-25,2024-11,64,Yes
REV00153,Very satisfied. The product is outstanding and works as expected.,5,Positive,0.759,Beauty,Flipkart,2024-11-09,2024-11,21,Yes
REV00154,Horrible experience. substandard service and delivery took forever.,2,Negative,-0.397,Automotive,Amazon,2024-12-02,2024-12,108,Yes
REV00155,Superb quality! Will definitely buy again. outstanding service overall.,5,Positive,0.836,Books,Flipkart,2023-07-16,2023-07,39,Yes
REV00156,Outstanding experience from order to delivery. premium service!,5,Positive,0.885,Electronics,Myntra,2024-06-23,2024-06,33,No
REV00157,Great value for money. Very outstanding and durable.,5,Positive,0.588,Books,Meesho,2024-11-23,2024-11,72,No
REV00158,Highly recommend! Product is exactly as described. fantastic experience.,5,Positive,0.436,Health,Meesho,2024-11-25,2024-11,118,Yes
REV00159,Terrible! appalling product quality. Will not buy again.,2,Negative,-0.265,Home & Kitchen,Myntra,2024-09-11,2024-09,13,No
REV00160,Moderate quality. Acceptable for casual use.,3,Neutral,0.087,Automotive,Amazon,2024-12-29,2024-12,72,Yes
REV00161,Highly disappointing. mediocre packaging and product looks fake.,2,Negative,-0.867,Fashion,Flipkart,2024-03-23,2024-03,115,Yes
REV00162,Neither impressed nor disappointed. Product is just okay.,3,Neutral,-0.089,Toys,Flipkart,2024-05-29,2024-05,98,Yes
REV00163,Absolutely love this product! incredible quality and perfectly delivery.,5,Positive,0.755,Home & Kitchen,Amazon,2023-05-30,2023-05,73,No
REV00164,Poor quality. Item broke within a week. mediocre customer support.,1,Negative,-0.995,Electronics,Myntra,2023-03-23,2023-03,55,Yes
REV00165,Really bad quality. Product is appalling and not worth it.,1,Negative,-0.741,Fashion,Amazon,2023-11-05,2023-11,61,No
REV00166,Frustrated with this purchase. Item is mediocre and overpriced.,1,Negative,-0.247,Health,Nykaa,2024-05-26,2024-05,4,Yes
REV00167,Highly disappointing. appalling packaging and product looks fake.,1,Negative,-0.682,Beauty,Flipkart,2024-08-07,2024-08,21,Yes
REV00168,Best purchase I've made. excellent quality at a great price.,5,Positive,0.33,Toys,Myntra,2024-02-01,2024-02,4,Yes
REV00169,Do not buy! Product quality is dreadful. Waste of money.,2,Negative,-0.435,Toys,Flipkart,2024-08-18,2024-08,11,Yes
REV00170,Defective product delivered. pathetic response from seller.,2,Negative,-0.384,Grocery,Flipkart,2024-12-13,2024-12,34,Yes
REV00171,Very bad experience. Product is terrible and stopped working soon.,1,Negative,-0.961,Electronics,Myntra,2023-07-24,2023-07,79,No
REV00172,Moderate quality. Acceptable for casual use.,3,Neutral,-0.005,Books,Myntra,2023-02-07,2023-02,91,Yes
REV00173,Average experience overall. Product is functional.,3,Neutral,-0.045,Beauty,Meesho,2024-01-12,2024-01,112,No
REV00174,Great value for money. Very remarkable and durable.,5,Positive,0.947,Sports,Amazon,2024-06-15,2024-06,108,Yes
REV00175,Fantastic! The item is outstanding and exactly what I needed.,4,Positive,0.372,Sports,Myntra,2023-12-02,2023-12,114,No
REV00176,"Excellent! Delivery was quick, product works smoothly.",4,Positive,0.909,Health,Meesho,2023-12-28,2023-12,70,Yes
REV00177,Brilliant product. top-notch packaging and arrived on time.,5,Positive,0.825,Electronics,Flipkart,2023-06-13,2023-06,112,Yes
REV00178,Highly recommend! Product is exactly as described. incredible experience.,5,Positive,0.697,Home & Kitchen,Meesho,2024-09-11,2024-09,94,Yes
REV00179,Exceeded my expectations. outstanding packaging and amazing customer support.,5,Positive,0.52,Books,Amazon,2023-10-13,2023-10,6,Yes
REV00180,Awful! Product arrived damaged and support was awful.,1,Negative,-0.766,Books,Nykaa,2024-04-01,2024-04,73,No
REV00181,Great value for money. Very premium and durable.,4,Positive,0.799,Toys,Myntra,2023-03-31,2023-03,16,Yes
REV00182,Product is as described. No complaints but nothing great.,3,Neutral,-0.068,Home & Kitchen,Myntra,2024-12-27,2024-12,130,Yes
REV00183,Highly recommend! Product is exactly as described. outstanding experience.,5,Positive,0.318,Health,Myntra,2024-07-21,2024-07,119,Yes
REV00184,Terrible experience. Delivery was delayed and product is awful.,1,Negative,-0.1,Automotive,Meesho,2024-05-05,2024-05,104,Yes
REV00185,Fast shipping and the product is premium. Very happy with purchase.,5,Positive,0.662,Automotive,Nykaa,2023-05-12,2023-05,46,Yes
REV00186,Wonderful purchase. excellent quality and prompt delivery.,5,Positive,0.513,Toys,Flipkart,2023-06-15,2023-06,88,Yes
REV00187,Okay purchase. Packaging could be better. Works as expected.,3,Neutral,-0.061,Sports,Flipkart,2024-07-18,2024-07,77,Yes
REV00188,Poor quality. Item broke within a week. pathetic customer support.,1,Negative,-0.438,Toys,Nykaa,2024-09-11,2024-09,10,Yes
REV00189,Brilliant product. fantastic packaging and arrived on time.,4,Positive,0.7,Electronics,Meesho,2024-09-24,2024-09,139,Yes
REV00190,Highly disappointing. mediocre packaging and product looks fake.,1,Negative,-0.273,Sports,Meesho,2024-02-20,2024-02,18,Yes
REV00191,Amazing product! remarkable build quality. Five stars!,4,Positive,0.725,Toys,Myntra,2023-11-17,2023-11,102,Yes
REV00192,Terrible! awful product quality. Will not buy again.,1,Negative,-0.58,Grocery,Flipkart,2023-10-01,2023-10,36,Yes
REV00193,Amazing product! top-notch build quality. Five stars!,5,Positive,0.932,Health,Myntra,2023-12-02,2023-12,48,Yes
REV00194,Terrible! mediocre product quality. Will not buy again.,1,Negative,-0.722,Fashion,Meesho,2023-01-24,2023-01,129,No
REV00195,Decent product. Not the best but not the worst either.,3,Neutral,0.017,Electronics,Myntra,2023-02-19,2023-02,126,No
REV00196,Absolutely love this product! premium quality and smoothly delivery.,4,Positive,0.485,Beauty,Myntra,2024-01-10,2024-01,11,No
REV00197,Best purchase I've made. superb quality at a great price.,5,Positive,0.351,Grocery,Nykaa,2024-05-31,2024-05,71,Yes
REV00198,Exceeded my expectations. top-notch packaging and amazing customer support.,5,Positive,0.537,Home & Kitchen,Flipkart,2024-01-10,2024-01,130,No
REV00199,Very disappointed. Product quality is terrible. Not worth the price.,1,Negative,-0.7,Automotive,Meesho,2024-04-30,2024-04,38,Yes
REV00200,Very satisfied. The product is incredible and works as expected.,5,Positive,0.732,Health,Myntra,2023-11-03,2023-11,129,No
REV00201,Highly disappointing. mediocre packaging and product looks fake.,2,Negative,-0.668,Fashion,Meesho,2024-11-20,2024-11,149,Yes
REV00202,Really bad quality. Product is terrible and not worth it.,1,Negative,-0.761,Health,Nykaa,2024-11-02,2024-11,58,Yes
REV00203,Poor quality. Item broke within a week. appalling customer support.,1,Negative,-0.387,Health,Amazon,2023-02-02,2023-02,48,Yes
REV00204,Amazing product! outstanding build quality. Five stars!,5,Positive,0.587,Grocery,Amazon,2024-09-18,2024-09,35,Yes
REV00205,Horrible experience. mediocre service and delivery took forever.,1,Negative,-0.718,Grocery,Nykaa,2023-06-27,2023-06,87,Yes
REV00206,Defective product delivered. horrible response from seller.,2,Negative,-0.827,Sports,Nykaa,2023-09-10,2023-09,76,Yes
REV00207,Okay purchase. Packaging could be better. Works as expected.,3,Neutral,0.054,Books,Meesho,2024-12-22,2024-12,81,No
REV00208,Wonderful purchase. fantastic quality and prompt delivery.,4,Positive,0.774,Beauty,Myntra,2024-01-24,2024-01,37,Yes
REV00209,Loved it! Product quality is premium. Would recommend to friends.,5,Positive,0.759,Books,Flipkart,2024-05-05,2024-05,137,Yes
REV00210,Okay packaging. Product condition was acceptable.,3,Neutral,-0.046,Health,Nykaa,2023-04-22,2023-04,61,Yes
REV00211,Wonderful purchase. superb quality and prompt delivery.,4,Positive,0.37,Grocery,Amazon,2023-12-05,2023-12,35,Yes
REV00212,Alright product. Would consider other options next time.,3,Neutral,-0.068,Grocery,Meesho,2024-10-30,2024-10,51,Yes
REV00213,Brilliant product. excellent packaging and arrived on time.,5,Positive,0.463,Home & Kitchen,Meesho,2023-02-08,2023-02,45,Yes
REV00214,Neither impressed nor disappointed. Product is just okay.,3,Neutral,0.058,Sports,Amazon,2023-07-10,2023-07,2,Yes
REV00215,Terrible experience. Delivery was delayed and product is substandard.,1,Negative,-0.11,Automotive,Meesho,2024-07-10,2024-07,34,No
